,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,PPS,3PAr,PER,USG%,Points_Produced,Possessions_Used,ORtg,Assist/Turnover Ratio,Defensive Possessions,Defensive Rating
333,334,Daishen Nix,PG,21,MIN,15,0,3.3,0.6,1.6,0.375,0.4,1.1,0.353,0.2,0.5,0.429,0.5,0.2,0.4,0.5,0.1,0.1,0.2,0.4,0.3,0.0,0.3,0.1,1.8,0.5067567567567568,1.125,0.6875,15.179116088069401,62.909090909090914,1.976,2.076,95.18304431599229,1.3333333333333335,0.4,250.0
334,335,Naz Reid,C,24,MIN,81,14,24.2,5.0,10.5,0.477,2.1,5.0,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,0.5977683315621679,1.2857142857142858,0.47619047619047616,18.978051494557747,52.44628099173554,14.292,12.692,112.60636621493855,0.9285714285714287,6.0,16.666666666666668
335,336,Luka Garza,C,25,MIN,25,0,4.9,1.4,3.0,0.48,0.4,1.3,0.281,1.1,1.7,0.628,0.54,0.7,1.0,0.72,0.8,0.5,1.2,0.2,0.2,0.0,0.2,1.0,4.0,0.5813953488372093,1.3333333333333333,0.43333333333333335,24.078698658023047,74.28571428571428,4.44,3.64,121.97802197802199,1.0,0.7,142.85714285714286
336,337,Nickeil Alexander-Walker,SG,25,MIN,82,20,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,0.5753739930955121,1.2121212121212122,0.6212121212121212,12.43121308293852,33.55555555555556,8.352,7.852,106.36780438104941,2.7777777777777777,2.9000000000000004,34.48275862068965
337,338,Rudy Gobert,C,31,MIN,76,76,34.1,5.3,8.1,0.661,0.0,0.0,0.0,5.3,8.0,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14.0,0.6767208043310132,1.7283950617283952,0.0,18.459173820275616,35.02639296187683,16.244,11.943999999999999,136.00133958472875,0.8125,11.999999999999998,8.333333333333334
338,339,Justin Jackson,SF,28,MIN,2,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,340,Leonard Miller,SF,20,MIN,17,0,3.1,0.8,1.2,0.65,0.1,0.3,0.4,0.6,0.9,0.733,0.7,0.1,0.1,0.5,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,1.7,0.6832797427652733,1.4166666666666667,0.25,26.08707786297819,43.35483870967742,1.744,1.344,129.76190476190476,5.0,1.1,90.9090909090909
340,341,Karl-Anthony Towns,PF,28,MIN,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,0.6275909719023491,1.4248366013071896,0.3464052287581699,22.147046795900973,61.981651376146786,23.868000000000002,20.268,117.7619893428064,1.0344827586206897,8.2,12.195121951219512
341,342,T.J. Warren,SF,30,MIN,11,0,11.4,1.6,3.7,0.439,0.2,1.2,0.154,1.5,2.5,0.571,0.463,0.3,0.4,0.75,0.5,1.5,2.0,0.8,0.4,0.1,0.4,1.0,3.7,0.47729618163054693,1.0,0.3243243243243243,12.25542774834139,37.50877192982457,3.8760000000000003,4.276000000000001,90.64546304957904,2.0,2.0,50.0
342,343,Josh Minott,SF,21,MIN,32,0,2.8,0.5,1.1,0.472,0.1,0.3,0.4,0.4,0.8,0.5,0.528,0.4,0.4,0.857,0.1,0.4,0.5,0.3,0.2,0.2,0.1,0.3,1.6,0.6269592476489029,1.4545454545454546,0.2727272727272727,22.847051667842848,49.14285714285715,1.776,1.3760000000000001,129.06976744186045,2.9999999999999996,0.8,125.0
343,344,Naji Marshall,SF,26,NOP,66,1,19.0,2.6,5.6,0.463,0.9,2.3,0.387,1.7,3.3,0.516,0.542,1.0,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1.0,1.4,7.1,0.5751782242384964,1.2678571428571428,0.4107142857142857,14.436523313057004,37.74736842105263,7.672,7.172,106.97155605131064,1.9,3.7,27.027027027027025
344,345,Larry Nance Jr.,C,31,NOP,61,0,19.9,2.3,4.0,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7,0.6418918918918919,1.425,0.275,14.465972412805021,26.331658291457288,6.140000000000001,5.24,117.17557251908397,2.3749999999999996,4.8,20.833333333333336
345,346,Trey Murphy III,SF,23,NOP,57,23,29.6,4.8,10.9,0.443,3.0,7.8,0.38,1.9,3.1,0.602,0.579,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8,0.6144138160079707,1.3577981651376148,0.7155963302752293,17.799379492884707,42.71621621621622,15.944,12.644,126.09933565327428,3.666666666666667,5.6000000000000005,17.857142857142854
346,347,Matt Ryan,SF,26,NOP,28,1,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.3,0.8,0.364,0.615,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4,0.6398104265402844,1.35,0.825,11.592545016206945,35.39568345323741,5.62,4.92,114.22764227642277,0.8571428571428572,1.4,71.42857142857143
347,348,Zion Williamson,PF,23,NOP,70,70,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5.0,7.1,0.702,1.7,4.1,5.8,5.0,1.1,0.7,2.8,2.3,22.9,0.6115146336252937,1.4679487179487178,0.019230769230769232,23.594250841885504,68.33015873015873,26.023999999999997,21.524,120.90689462925104,1.7857142857142858,5.8999999999999995,16.949152542372882
348,349,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-3.8796880190676535,57.142857142857146,0.0,4.0,0.0,0.0,1.0,100.0
349,350,Jonas Valan?i?nas,C,31,NOP,82,82,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2.0,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,0.6161616161616161,1.3863636363636362,0.17045454545454544,21.32819508165466,48.08510638297872,13.299999999999999,11.3,117.69911504424778,1.5000000000000002,7.7,12.987012987012987
350,351,Jeremiah Robinson-Earl,PF,23,NOP,39,1,8.6,1.2,2.4,0.474,0.3,1.0,0.333,0.8,1.4,0.571,0.542,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6,2.9,0.562888198757764,1.2083333333333333,0.4166666666666667,13.473645213506273,34.6046511627907,3.076,2.976,103.36021505376345,1.25,1.8,55.55555555555556
351,352,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.023380167922011,33.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0
352,353,Izaiah Brockington,PG,24,NOP,1,0,3.0,2.0,5.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,0.8,0.2,38.2221115952591,166.66666666666666,4.0,5.0,80.0,0.0,1.0,100.0
353,354,Jose Alvarado,PG,25,NOP,56,0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,0.5382049727107338,1.1451612903225805,0.5967741935483871,14.595686206999687,39.652173913043484,7.4959999999999996,7.296,102.74122807017542,3.0000000000000004,3.2,31.25
354,355,Herbert Jones,SF,25,NOP,76,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1.0,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11.0,0.6377551020408163,1.4285714285714286,0.4675324675324675,13.850980905961022,32.20983606557377,11.924,9.824,121.37622149837132,2.166666666666667,4.8,20.833333333333336
355,356,Brandon Ingram,SF,26,NOP,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,0.5773928492116367,1.3081761006289307,0.23899371069182387,21.05854300657052,62.346504559270514,22.912,20.512,111.70046801872074,2.2800000000000002,5.8,17.24137931034483
356,357,E.J. Liddell,PF,23,NOP,8,0,2.9,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.167,0.3,0.3,1.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,0.26824034334763946,0.625,0.7499999999999999,9.57287005471099,42.48275862068966,0.632,1.232,51.2987012987013,0.33333333333333337,1.2,83.33333333333334
